"price","fspace","age","distance","structure","zoning"
64,75,8,9,"ＲＣ","工業地域"
73,75,25,6,"ＲＣ","住居地域"
68,70,12,11,"ＲＣ","工業地域"
50,90,23,10,"ＲＣ","住居地域"
57,60,11,7,"ＲＣ","住居地域"
73,60,16,3,"ＲＣ","商業地域"
37,65,53,6,"ＲＣ","住居地域"
33,55,53,6,"ＲＣ","住居地域"
53,60,21,7,"ＲＣ","住居地域"
45,80,53,6,"ＲＣ","住居地域"
8,20,33,6,"ＲＣ","住居地域"
23,45,45,3,"ＳＲＣ","住居地域"
49,70,15,5,"ＲＣ","住居地域"
27,50,55,5,"ＲＣ","住居地域"
18,20,20,8,"ＲＣ","工業地域"
66,70,22,9,"ＳＲＣ","工業地域"
82,95,20,11,"ＲＣ","工業地域"
45,70,20,9,"ＲＣ","工業地域"
74,95,21,11,"ＲＣ","工業地域"
39,35,6,3,"ＲＣ","住居地域"
59,75,10,10,"ＲＣ","工業地域"
22,30,11,4,"ＲＣ","商業地域"
57,70,22,11,"ＳＲＣ","工業地域"
8,20,36,4,"ＲＣ","工業地域"
65,90,23,4,"ＲＣ","住居地域"
89,75,10,6,"ＲＣ","住居地域"
25,35,53,9,"ＳＲＣ","商業地域"
15,20,24,5,"ＲＣ","住居地域"
92,70,10,6,"ＲＣ","住居地域"
54,65,18,12,"ＲＣ","工業地域"
21,35,34,4,"ＲＣ","住居地域"
22,30,7,11,"ＲＣ","工業地域"
65,55,7,4,"ＲＣ","住居地域"
45,70,30,6,"ＲＣ","住居地域"
52,65,38,7,"ＲＣ","住居地域"
53,70,21,13,"ＲＣ","住居地域"
73,80,20,12,"ＲＣ","住居地域"
23,50,53,5,"鉄骨造","住居地域"
38,55,46,3,"ＳＲＣ","商業地域"
55,60,22,5,"ＳＲＣ","商業地域"
100,105,19,6,"ＳＲＣ","商業地域"
120,85,16,5,"ＲＣ","商業地域"
52,55,24,4,"ＳＲＣ","商業地域"
44,75,43,4,"ＳＲＣ","商業地域"
55,65,15,12,"ＲＣ","工業地域"
57,75,15,12,"ＲＣ","工業地域"
15,30,33,11,"ＲＣ","工業地域"
47,55,22,14,"ＲＣ","工業地域"
65,65,8,15,"ＲＣ","工業地域"
28,55,46,15,"ＲＣ","工業地域"
67,60,3,4,"ＲＣ","商業地域"
64,80,15,12,"ＲＣ","工業地域"
60,70,15,12,"ＲＣ","工業地域"
45,65,11,18,"ＲＣ","工業地域"
51,60,28,5,"ＲＣ","商業地域"
72,70,22,6,"ＲＣ","商業地域"
43,75,40,7,"ＳＲＣ","商業地域"
48,70,40,7,"ＳＲＣ","商業地域"
53,65,28,4,"ＲＣ","商業地域"
45,60,9,19,"ＲＣ","工業地域"
49,70,15,15,"ＳＲＣ","商業地域"
58,60,19,3,"ＲＣ","商業地域"
63,85,40,9,"ＳＲＣ","工業地域"
60,60,17,2,"ＲＣ","住居地域"
55,55,20,4,"ＳＲＣ","商業地域"
50,75,42,3,"ＳＲＣ","商業地域"
47,50,12,6,"ＲＣ","商業地域"
35,40,20,4,"ＳＲＣ","商業地域"
44,75,37,11,"ＲＣ","工業地域"
31,60,41,11,"ＲＣ","住居地域"
40,60,50,9,"ＳＲＣ","住居地域"
60,75,27,11,"ＲＣ","住居地域"
72,85,23,10,"ＲＣ","住居地域"
85,95,22,8,"ＲＣ","住居地域"
77,85,20,14,"ＲＣ","住居地域"
63,70,13,12,"ＲＣ","住居地域"
31,45,16,13,"ＲＣ","工業地域"
70,75,26,11,"ＳＲＣ","住居地域"
75,80,25,9,"ＳＲＣ","住居地域"
40,65,30,12,"ＲＣ","工業地域"
69,75,12,12,"ＲＣ","工業地域"
21,50,50,11,"ＳＲＣ","工業地域"
14,30,52,4,"ＳＲＣ","工業地域"
63,65,8,12,"ＲＣ","住居地域"
64,65,5,10,"ＲＣ","住居地域"
77,80,19,8,"ＲＣ","住居地域"
63,65,8,12,"ＲＣ","住居地域"
64,60,5,10,"ＲＣ","住居地域"
45,65,32,4,"ＲＣ","工業地域"
38,65,42,12,"ＲＣ","工業地域"
8,20,35,5,"ＲＣ","住居地域"
74,75,7,10,"ＲＣ","工業地域"
70,85,21,15,"ＲＣ","工業地域"
45,70,29,17,"ＲＣ","工業地域"
72,65,7,10,"ＲＣ","工業地域"
43,60,20,14,"ＲＣ","工業地域"
75,75,7,10,"ＲＣ","工業地域"
37,60,41,5,"ＳＲＣ","工業地域"
47,75,27,10,"ＳＲＣ","工業地域"
57,70,7,4,"ＲＣ","工業地域"
44,55,18,5,"ＳＲＣ","住居地域"
66,70,20,4,"ＲＣ","住居地域"
60,70,7,4,"ＲＣ","工業地域"
49,75,26,2,"ＳＲＣ","商業地域"
55,75,26,2,"ＳＲＣ","商業地域"
47,60,21,6,"ＲＣ","住居地域"
66,60,13,4,"ＲＣ","商業地域"
49,65,25,6,"ＳＲＣ","商業地域"
94,85,14,2,"ＲＣ","住居地域"
43,40,15,4,"ＲＣ","住居地域"
14,35,46,6,"ＲＣ","住居地域"
47,40,11,5,"ＲＣ","住居地域"
23,45,56,1,"鉄骨造","住居地域"
74,60,12,4,"ＲＣ","住居地域"
43,45,21,4,"ＲＣ","住居地域"
82,75,16,6,"ＲＣ","住居地域"
33,35,16,3,"ＲＣ","住居地域"
110,75,7,3,"ＲＣ","商業地域"
32,35,6,11,"ＲＣ","住居地域"
28,55,54,12,"ＲＣ","住居地域"
42,60,29,11,"ＲＣ","商業地域"
82,60,10,8,"ＲＣ","商業地域"
110,70,10,8,"ＲＣ","商業地域"
40,35,6,11,"ＲＣ","住居地域"
29,45,57,3,"ＲＣ","商業地域"
46,80,44,6,"ＲＣ","住居地域"
70,75,17,7,"ＲＣ","住居地域"
56,50,17,8,"ＲＣ","住居地域"
27,45,52,15,"ＲＣ","商業地域"
20,40,55,4,"ＲＣ","住居地域"
60,55,10,7,"ＲＣ","住居地域"
20,40,45,4,"ＳＲＣ","商業地域"
34,55,38,4,"ＲＣ","住居地域"
24,40,46,3,"ＳＲＣ","商業地域"
49,75,50,3,"ＳＲＣ","商業地域"
67,70,27,4,"ＳＲＣ","商業地域"
23,45,45,4,"ＳＲＣ","商業地域"
68,55,13,5,"ＲＣ","商業地域"
36,50,50,2,"ＳＲＣ","商業地域"
46,50,22,2,"ＳＲＣ","商業地域"
46,65,24,8,"ＲＣ","住居地域"
57,85,20,4,"ＲＣ","工業地域"
17,35,42,4,"ＳＲＣ","商業地域"
43,60,29,6,"ＲＣ","住居地域"
45,60,49,3,"ＳＲＣ","住居地域"
65,65,13,13,"ＲＣ","住居地域"
52,45,9,5,"ＲＣ","住居地域"
8,25,53,14,"鉄骨造","住居地域"
95,75,11,6,"ＲＣ","住居地域"
94,170,62,8,"ＲＣ","住居地域"
34,60,37,11,"ＲＣ","工業地域"
78,70,4,13,"ＲＣ","工業地域"
29,50,39,6,"ＲＣ","住居地域"
40,55,21,5,"ＲＣ","住居地域"
34,85,53,9,"ＳＲＣ","住居地域"
62,55,4,5,"ＲＣ","商業地域"
37,70,41,13,"ＳＲＣ","工業地域"
43,70,26,9,"ＲＣ","工業地域"
24,55,41,6,"ＲＣ","住居地域"
29,45,24,4,"ＲＣ","商業地域"
32,50,51,8,"ＲＣ","住居地域"
45,65,38,6,"ＲＣ","工業地域"
8,25,50,8,"ＳＲＣ","工業地域"
37,45,30,6,"ＳＲＣ","商業地域"
34,70,43,16,"ＲＣ","工業地域"
47,60,16,7,"ＲＣ","商業地域"
37,55,24,5,"ＲＣ","住居地域"
26,40,32,2,"ＲＣ","商業地域"
60,85,37,4,"鉄骨造","住居地域"
53,70,17,11,"ＲＣ","住居地域"
32,65,42,13,"ＲＣ","住居地域"
73,80,33,1,"ＳＲＣ","住居地域"
50,50,9,3,"ＲＣ","商業地域"
44,60,7,12,"ＲＣ","工業地域"
44,65,5,15,"ＲＣ","工業地域"
40,70,23,11,"ＲＣ","工業地域"
65,70,12,11,"ＲＣ","工業地域"
23,20,13,8,"ＲＣ","住居地域"
42,35,7,5,"ＲＣ","住居地域"
25,20,15,5,"ＲＣ","住居地域"
8,15,33,8,"ＳＲＣ","住居地域"
26,25,9,12,"ＲＣ","工業地域"
24,20,16,6,"ＳＲＣ","商業地域"
22,20,24,6,"ＳＲＣ","商業地域"
38,50,46,3,"ＳＲＣ","商業地域"
12,15,26,5,"ＳＲＣ","商業地域"
26,20,13,8,"ＲＣ","商業地域"
21,20,14,5,"ＲＣ","工業地域"
28,25,7,3,"ＲＣ","工業地域"
10,25,17,14,"ＲＣ","工業地域"
6,10,40,15,"ＲＣ","工業地域"
26,25,9,11,"ＲＣ","商業地域"
25,25,9,6,"ＲＣ","商業地域"
25,20,11,4,"ＲＣ","商業地域"
43,30,3,4,"ＲＣ","商業地域"
47,50,22,15,"ＲＣ","工業地域"
33,25,2,6,"ＲＣ","工業地域"
36,25,0,10,"ＲＣ","工業地域"
20,45,46,2,"ＳＲＣ","商業地域"
31,55,46,2,"ＳＲＣ","商業地域"
39,65,19,24,"ＲＣ","工業地域"
13,15,18,13,"ＲＣ","工業地域"
55,50,20,5,"ＳＲＣ","商業地域"
45,55,29,7,"ＲＣ","住居地域"
26,25,9,9,"ＲＣ","住居地域"
16,15,39,5,"ＳＲＣ","商業地域"
16,25,46,4,"ＳＲＣ","商業地域"
65,50,10,4,"ＲＣ","商業地域"
40,35,12,11,"ＲＣ","住居地域"
27,25,15,6,"ＲＣ","商業地域"
38,25,1,6,"ＲＣ","住居地域"
92,70,10,6,"ＲＣ","住居地域"
50,70,20,11,"ＲＣ","住居地域"
37,50,53,6,"ＲＣ","住居地域"
66,50,21,3,"ＳＲＣ","商業地域"
36,60,22,10,"ＳＲＣ","工業地域"
78,90,20,12,"ＲＣ","工業地域"
34,25,4,8,"ＲＣ","工業地域"
20,20,20,8,"ＲＣ","工業地域"
14,25,33,5,"ＲＣ","住居地域"
26,25,12,9,"ＲＣ","住居地域"
27,25,8,10,"ＲＣ","商業地域"
54,65,22,12,"ＲＣ","住居地域"
18,20,16,4,"ＲＣ","住居地域"
29,25,7,4,"ＲＣ","住居地域"
29,25,7,4,"ＲＣ","住居地域"
19,20,27,4,"ＲＣ","住居地域"
24,50,35,5,"ＲＣ","住居地域"
37,55,38,14,"ＲＣ","商業地域"
42,55,53,6,"ＲＣ","住居地域"
43,60,52,6,"ＳＲＣ","住居地域"
21,40,52,6,"ＳＲＣ","住居地域"
27,20,12,10,"ＲＣ","住居地域"
22,20,14,5,"ＲＣ","住居地域"
28,20,14,5,"ＲＣ","住居地域"
80,65,13,7,"ＲＣ","住居地域"
57,75,18,11,"ＲＣ","工業地域"
18,20,17,5,"ＲＣ","住居地域"
19,20,17,5,"ＲＣ","住居地域"
52,75,23,6,"ＲＣ","住居地域"
48,70,38,9,"ＳＲＣ","工業地域"
12,15,35,4,"ＲＣ","住居地域"
53,65,38,9,"ＳＲＣ","商業地域"
30,20,10,4,"ＲＣ","商業地域"
12,15,33,8,"ＳＲＣ","商業地域"
41,55,38,5,"ＲＣ","住居地域"
16,20,20,2,"ＲＣ","住居地域"
31,55,38,5,"ＲＣ","住居地域"
41,35,8,8,"ＲＣ","工業地域"
25,35,8,8,"ＲＣ","工業地域"
27,25,8,8,"ＲＣ","工業地域"
22,20,12,9,"ＲＣ","住居地域"
13,15,33,7,"ＲＣ","住居地域"
26,25,9,13,"ＲＣ","工業地域"
21,40,47,4,"ＲＣ","工業地域"
35,60,28,3,"ＲＣ","工業地域"
22,20,11,5,"ＲＣ","住居地域"
21,25,8,13,"ＲＣ","工業地域"
29,40,46,7,"ＳＲＣ","工業地域"
26,20,16,3,"ＲＣ","商業地域"
57,80,36,2,"ＲＣ","商業地域"
49,65,27,13,"ＲＣ","住居地域"
8,20,50,8,"ＳＲＣ","工業地域"
8,20,50,8,"ＳＲＣ","工業地域"
37,50,46,8,"ＳＲＣ","工業地域"
55,55,29,6,"ＲＣ","工業地域"
7,35,50,8,"ＳＲＣ","工業地域"
43,65,23,8,"ＲＣ","工業地域"
66,80,23,9,"ＲＣ","工業地域"
21,20,11,10,"ＲＣ","工業地域"
24,20,11,10,"ＲＣ","工業地域"
27,25,10,8,"ＲＣ","商業地域"
27,25,7,10,"ＲＣ","商業地域"
57,25,24,8,"ＲＣ","住居地域"
13,30,39,8,"ＲＣ","商業地域"
20,20,24,2,"ＲＣ","商業地域"
28,25,3,10,"ＲＣ","工業地域"
9,15,36,8,"ＲＣ","工業地域"
