"loan_outcome","homeownership","annual_income","debt_to_income","credit_util","grade","interest_rate"
"Default","RENT",70000,3.82,0.281162790697674,"D",17.09
"Default","RENT",36000,4.87,0.25056,"D",20
"Default","MORTGAGE",41000,41.51,0.786465568565191,"D",21.45
"Default","RENT",24000,4.4,0.690388059701493,"B",10.9
"Default","MORTGAGE",169880,20.61,0.122381201697286,"C",16.02
"Default","OWN",64000,31.58,0.740032181101925,"D",17.09
"Default","RENT",58000,25.32,0.421204553562741,"C",15.05
"Default","OWN",50000,29.67,0.186837660862609,"B",11.98
"Default","RENT",80000,0.38,0.000808383233532934,"C",16.02
"Default","MORTGAGE",62000,9.16,0.640483807241814,"A",7.96
"Default","RENT",1e+05,25.65,0.72686686287225,"C",16.02
"Default","MORTGAGE",84676,26.31,0.468637435291827,"E",26.77
"Default","RENT",1e+05,17.1,0.765773666393203,"D",21.85
"Default","MORTGAGE",20000,11.28,0.210878552971576,"B",11.99
"Default","RENT",25000,8.68,0.319450980392157,"B",11.98
"Default","RENT",172000,4.35,0.474194623222209,"D",20
"Default","RENT",36000,26.73,0.395005331873073,"E",26.77
"Default","MORTGAGE",180000,12.03,0.226347261898998,"D",19.03
"Default","MORTGAGE",70200,22.77,0.239987111902695,"D",18.45
"Default","OWN",60000,1.2,0.201055555555556,"B",11.99
"Default","RENT",48000,26.11,0.547241482267857,"B",10.42
"Default","MORTGAGE",90000,20.59,0.553509941992121,"C",16.01
"Default","RENT",61582,28.97,0.668373856792327,"D",19.03
"Default","OWN",21600,34.28,0.439268056475865,"E",25.82
"Default","RENT",80000,1.86,0.0333864541832669,"C",12.62
"Default","RENT",1e+05,11.44,0.579144773230089,"C",16.02
"Default","RENT",70000,24.64,0.489138966080482,"C",13.58
"Default","OWN",75000,10.61,0.98022808426895,"D",17.09
"Default","RENT",90000,18.87,0.147384542884072,"C",12.61
"Default","MORTGAGE",83000,16.98,0.155275288092189,"G",30.94
"Default","MORTGAGE",51000,20.66,0.139087485058301,"A",6.72
"Default","MORTGAGE",150000,13.89,0.852334716869256,"C",12.62
"Default","OWN",63000,30,0.313735034821977,"D",21.85
"Default","OWN",72000,27.07,0.87773039017924,"D",17.47
"Default","RENT",33000,15.67,0.586157205240175,"E",26.3
"Default","RENT",40000,24.66,0.685028328611898,"B",9.93
"Default","RENT",70000,7.01,0.453718936704477,"C",13.59
"Default","RENT",120000,8.74,0.317872968980798,"B",11.99
"Default","RENT",26000,1.15,0.118235294117647,"B",9.93
"Default","OWN",40000,14.34,0.0978666128272428,"B",11.99
"Default","RENT",21000,8.11,0.1116,"C",16.01
"Default","MORTGAGE",52680,23.51,0.147805452592926,"F",30.17
"Default","MORTGAGE",65000,27.68,0.244677418742622,"E",24.85
"Default","RENT",60000,5.39,0.445642023346303,"C",16.02
"Default","OWN",26895,2.98,0.00376276512175962,"C",15.05
"Default","MORTGAGE",2e+05,4.66,0.0167569031733799,"A",5.31
"Default","MORTGAGE",230000,14.59,0.204543934453641,"C",13.59
"Default","MORTGAGE",49000,21.48,0.0390857404655928,"D",17.09
"Default","RENT",45000,6.71,0.83258064516129,"D",19.03
"Default","RENT",36000,5.07,0.330592592592593,"D",19.03
"Default","RENT",30000,34.72,0.738187226787107,"D",19.03
"Default","RENT",110000,18.69,0.303908502379048,"C",15.04
"Default","MORTGAGE",126049,18.11,0.38135739550383,"C",14.08
"Default","MORTGAGE",258000,10.8,0.629881651160277,"D",17.09
"Default","RENT",35200,1.93,0.113137254901961,"C",14.08
"Default","OWN",74620,0.45,0.0136515513126492,"B",9.92
"Default","OWN",25000,8.35,0.129190751445087,"A",7.96
"Default","MORTGAGE",1e+05,13.56,0.453438703018706,"D",17.09
"Default","RENT",22560,7.93,0.462032520325203,"D",21.45
"Default","MORTGAGE",65000,8.07,0.202817345124778,"C",14.08
"Default","RENT",65000,25.76,0.627173091458806,"E",24.85
"Default","RENT",45000,37.31,0.89939094954999,"E",23.88
"Default","RENT",70000,7.25,0.094367816091954,"D",18.06
"Default","MORTGAGE",125000,23.98,0.35803487981589,"A",7.97
"Default","RENT",113500,31.08,0.590234258158181,"C",13.58
"Default","MORTGAGE",89000,8.87,0.087970532746384,"C",16.01
"Default","MORTGAGE",50000,36.24,0.111276246467261,"C",16.01
"Default","RENT",132300,3.54,0.123068931249435,"B",11.99
"Default","OWN",39000,7.24,0.615322580645161,"D",21.45
"Default","MORTGAGE",36000,31.5,0.0798483934969628,"F",30.75
"Default","MORTGAGE",120000,16.36,0.153889547286087,"B",11.99
"Default","MORTGAGE",30000,24.04,0.448114942528736,"C",13.59
"Default","RENT",85000,22.88,0.469387962896969,"C",14.08
"Default","MORTGAGE",59000,10.92,0.139060248974918,"B",9.44
"Default","MORTGAGE",68353,16.06,0.125003458331258,"E",25.82
"Default","OWN",85000,30.61,0.631236616702355,"D",21.45
"Default","RENT",78000,14.38,0.804320931085044,"D",18.06
"Fully Paid","MORTGAGE",140000,13.82,0.110330482940414,"B",9.93
"Fully Paid","OWN",70000,0,0.00302631578947368,"A",6.08
"Fully Paid","MORTGAGE",44000,24.77,0.720766343225441,"C",14.08
"Fully Paid","RENT",51000,17.25,0.736217844816079,"C",15.05
"Fully Paid","OWN",85000,26.49,0.455089666951324,"A",6.72
"Fully Paid","RENT",88000,13.04,0.610398190735141,"A",7.97
"Fully Paid","RENT",69000,27.74,0.50783607413208,"D",19.42
"Fully Paid","MORTGAGE",130000,9.53,0.0647240551889622,"A",6.08
"Fully Paid","MORTGAGE",85000,26.03,0.294789417771838,"A",7.97
